College Name,Region,Region Type,Address,District,Website,Email address,Contact Number,TPO name,TPO contact number,Status,Autonomous Status
"S.V.S.P. Mandal's Swami Vivekanand Institute of Technology and Mangement ,Udgir",Aurangabad,Rural,"Avalkonda Road, Udgir, Dist. Latur.   413517",Latur,www.svspm.edu.in,svitm934@gmail.com,253970,Datta Gharge,253970,Un-Aided,Non-Autonomous
"Gramodyogik Shikshan Mandal's Marathwada Institute of Technology, Aurangabad",Aurangabad,Urban,"P.B.-327, Satara Village Rd.,  off Beed By-Pass Highway ,Aurangabad",Aurangabad,www.mit.asia,principal.mite@mit.asia,2375111,SHRI. SURENDRA R. PATIL,2375375,Un-Aided,Non-Autonomous
"Mahatma Gandhi Missions College of Engineering, Hingoli Rd, Nanded.",Aurangabad,Urban,"Near Airport,Hingoli Road, Nanded",Nanded,www.mgmcen.ac.in,mgmcen@mgmcen.ac.in,224087,Mrs.  Amruta A. Sarsar ,222999,Un-Aided,Non-Autonomous
"M.S. Bidve Engineering College, Latur",Aurangabad,Rural,"P.O. Box No. 112, Barshi Road, Latur",Latur,www.msbecl.ac.in,principal@msbecl.ac.in,221846,MRS. BAWAGE V.V.,221255,Un-Aided,Non-Autonomous
"Shree Tuljabhavani College of Engineering, Tuljapur",Aurangabad,Rural,"Naldurg Road, Tuljapur, Dist. Osmanabad",Osmanabad,www.stbcet.org.in,stbcet@gmail.com,243603,Ms. S.T. Koli,243603,Un-Aided,Non-Autonomous
"M.G.M.'s Jawaharlal Nehru Engineering College, Aurangabad",Aurangabad,Urban,"Mahatma Gandhi Mission's Jawaharlal Nehru Engg. College Campus, N-6, CIDCO",Aurangabad,www.jnec.org,jnec@jnec.ac.in,2481434,Mrs. Aishwarya D. Joshi ,2482893,Un-Aided,Non-Autonomous
"Mahatma Basaweshwar Education Society's College of Engineering, Ambejogai",Aurangabad,Rural,"Ambejogai, Beed",Beed,www.coea.ac.in,khadakbhavibi@gmail.com,2488882,NOT FILLED,247262,Un-Aided,Non-Autonomous
"Peoples Education Society's College of Engineering, Aurangabad",Aurangabad,Urban,"Nagasen Vana, Near Panchakki, University Rd., Aurangabad",Aurangabad,www.pescoe.ac.in,principal@pescoe.ac.in,2403001,Shri. V. F. Gajbhiye,2403017,Un-Aided,Non-Autonomous
"Hi-Tech Institute of Technology, Aurangabad",Aurangabad,Urban,"P-119, Bajajnagar, Aurangabad ",Aurangabad,www.hitechengg.edu.in,principal@hitechengg.edu.in,2552240,Mr.B.B.Jadhav,2553496,Un-Aided,Non-Autonomous
"Nagnathappa Halge Engineering  College, Parli, Beed",Aurangabad,Rural,"At Brahmwadi , Post Tokwadi, Parli-Beed State Highway, Parli Vaijnath Dist. Beed",Beed,www.nhce.in,nhce1@hotmail.com,224334,Prof. Mulgir S.N.,224334,Un-Aided,Non-Autonomous
"Matsyodari Shikshan Sansatha's College of Engineering and Technology, Jalna",Aurangabad,Urban,"Jalna-Aurangabad Road, Nagewadi, Jalna",Jalna,www.msscetjalna.org,msscetjalna@gmail.com,202533,Sham B. Bhojane,202533,Un-Aided,Non-Autonomous
"Shri Sai Samajik Vikas Santha's Shri Sai Colllege of Engineering, Paddari Village Tal. & Dist. Aurangabad",Aurangabad,Rural,"Gut No. 80, Paddari Village,Near Beed bypass,via Deolai,Near Sai Mandir, Tal. & Dist. Aurangabad",Aurangabad,www.saiengineeringcollege.in,appoint01@gmail.com,6517388,Kharat B.M.,6453732,Un-Aided,Non-Autonomous
"Maharashtra Education Society's Maharashtra Udayagiri Institute of Management & Technology, Somnathpur",Aurangabad,Rural,"Vill. Somnathpur, Tal. Udgir. Dist. Latur",Latur,www.muec.ac.in,principalmuimt@gmail.com,257722,Mr. Kulkarni A.B.,256152,Un-Aided,Non-Autonomous
"Geetai Charitable Trust's Khurana Sawant Institute of Engineering & Technology, Balsond, Hingoli.",Aurangabad,Rural,"Balsond, Tal.& Dist. Hingoli",Hingoli,www.ksiet.org,ksiet_hingoli@yahoo.co.in,290282,Ashruba Limbaji Korde,290281,Un-Aided,Non-Autonomous
"Adarsh Shikshan Prasarak Mandal's K. T. Patil College of Engineering and Technology, Osmanabad",Aurangabad,Rural,"Keshav Nagar, Jadahavwadi Road, Osmanabad.Tal.  & Dist. Osmanabad",Osmanabad,www.ktpcoe.org.in,ktpcoeo@gmail.com,2293099,ANDHALKAR SANTOSH,2293200,Un-Aided,Non-Autonomous
"G.S. Mandals Marathwada Institute of Technology (Arch.), Aurangabad",Aurangabad,Urban,"PB 327,Satara Road, Aurangabad",Aurangabad,www.mit.asia,info@mit.asia,2375111,Surendra R. Patil,2375111,Un-Aided,Non-Autonomous
"Gramodyogik Shikshan Mandal's Marathwada Institute Of Technology, Rotegaon, Vaijapur, Dist. Aurangabad.",Aurangabad,Rural,"Rotegaon, Post Box No. 327, Taluka, Vaijapur,Satara Village Road Dist. Aurangabad 431028",Aurangabad,www.mit.asia,munish.sharma@mit.asia,204035,V.G.Talekar,204035,Un-Aided,Non-Autonomous
"Shree Bharavnath Nisarga Mandal, Diploma in Engineering and Technology, Gevrai Tanda, Aurangabad",Aurangabad,Rural,"Gevrai Tanda, Paithan Road, Taluka & Dist. Aurangabad.  431001",Aurangabad,www.sbnmpoly.org,principalsbnm@rediffmail.com,6616401,Mr. Kazi M,2480451,Un-Aided,Non-Autonomous
"Vinayakrao Patil Shikshan Prasarak Mandal, Institute Of Engineering & Technology Kannad",Aurangabad,Rural,"Kannad, Dist Aurangabad ",Aurangabad,www.ietkannad.org,1157principal@msbte.com,220588,MAGAR  N.S.,220588,Un-Aided,Non-Autonomous
"Shree Dhaneshwari Manav Vikas Mandal Diploma In Engineering And Technology Institute, Hatta, Tal. Basmat, Hingoli",Aurangabad,Rural,"Hatta, Taluka Vasamat, Dist. Hingoli ",Hingoli,www.sdmvmspolyhatta.in,1006principal@msbte.com,244257,Mr.Raut V.G.,22454,Un-Aided,Non-Autonomous
"Dharati Janseva Pratishthan, Diploma In Engineering & Technology Institute, Jalna",Aurangabad,Rural,"Rohanwadi, Revgaon Raod, Tq.Dist.Jalna ",Jalna,www.djppolytech.org,1093principal@msbte.com,8888651267,SHINDE B. T.,02482223,Un-Aided,Non-Autonomous
"Education Society, Kalawatibai College Of Engineering & Technology (Polytechnic), Naigaon, Nanded",Aurangabad,Rural,"Lalwandi Road, Tal. Naigaon (Kh), Nanded  431709",Nanded,www.kalawatibaipoly.com,1155principal@msbte.com,263399,Mrs.Dachawar P.S.,263399,Un-Aided,Non-Autonomous
"Sahayog Sevabhai Sanstha, Indira Institute Of Technology(Polytechnic), Nanded.",Aurangabad,Rural,"Gat No. 18 & 22 Vishnupuri, Nanded 431606",Nanded,www.sahayogcampus.ac.in,indirapoly@gmail.com,229155,KIRKAN SHANKAR SANJAY,229155,Un-Aided,Non-Autonomous
"Gramodyogik Shikshan Mandal's Marathwada Institute of Technology, Aurangabad",Aurangabad,Urban,"P.B.-327, Satara Village Rd.,  off Beed By-Pass Highway Aurangabad , 431005",Aurangabad,www.mit.asia,sunil.deshmukh@mit.asia,2375333,PRAKASH G. GADHE,2375333,Un-Aided,Non-Autonomous
"Marathwada Shikshan Prasarak Mandal's Shri Shivaji Institute of Engineering and Management Studies, Parbhani",Aurangabad,Urban,"Vasmat Road,Parbhani",Parbhani,www.mspgroup.org,director.ssiems@yahoo.com,234109,Solanke Vikas Shankarrao,234109,Un-Aided,Non-Autonomous
"Ransamrat Kreeda Mandal's Rajarshi Shahu Institue of Technology,Parli Road Kallam, Dist. Osmanabad",Aurangabad,Rural,"Gat No 65-A/2, Parli Road Kallam, Dist. Osmanabad. 413507",Osmanabad,www.shahuitkallam.org,rsit1489@gmail.com,263011,Jawale Niteen Khanderao,263010,Un-Aided,Non-Autonomous
"Ambarwadikar Institute of Hotel Management & Catering Technology Polytechnic, Deolai, Aurangabad",Aurangabad,Urban,"Gut No. 103, Deolai, Surya Lawns Campus, Beed , Aurangabad ",Aurangabad,www.ambarwadikartech.com,ambarwadikar.hmct@gmail.com,2242044,Mr.Raju Kale,2653155,Un-Aided,Non-Autonomous
"Anand Charitable Trusts, Diploma in Engineering & Technology, Murshadapur, Ashti, Dist. Beed",Aurangabad,Rural," Murshadapur, Tq. Ashti, Dist. Beed.  414203",Beed,www.dietashti.org,acspoly.ashti@gmail.com,282974,Bodkhe Vijay Babanrao,282974,Un-Aided,Non-Autonomous
"Sevadas Shikshan Prasarak Mandal's Vasantrao Naik Instiute of Technology, Vasarni, Nanded",Aurangabad,Urban,"Gut No 24, Vasarni, Nanded. 431603",Nanded,www.sevadasspmnnd.org,1506principal@msbte.com,225375,MR. JOSHI K.C.,225375,Un-Aided,Non-Autonomous
"Shri Sai Institute of Technology(Polytechnic),Aurangabad",Aurangabad,Urban,"P-75 Behind Garware Palyster,MIDC ,Chikalthana  Aurangabad , 431210",Aurangabad,www.ssit.org.in,ssitpoly@gmail.com,2470312,Gawande K R,2470312,Un-Aided,Non-Autonomous
"Sai Institute of Engineering & Technology, Bilda, Aurangabad.",Aurangabad,Rural,"Survey No.170, Sai Nagar,Aurangabad Ajanta Road,Jalgaon Highway,Village Bilda,Tal. Phulambri,",Aurangabad,www.sietaurangabad.com,sietaurangabad@gmail.com,2020555,Mr. Shankar Chate,2020555,Un-Aided,Non-Autonomous
"Maitree Foundation's Maitree Institute of Management & Technology, Bhatangali Tal.& Dist. Latur",Aurangabad,Rural,"Gut. No. 237, Bhatangali, Tq. & Dist. Latur.  413512",Latur,www.mimlatur.com,mimlatur@rediffmail.com,240430,Sharad Hudage,254888,Un-Aided,Non-Autonomous
"V.J. Shinde College of Engineering, Osmanabad.",Aurangabad,Urban,"Gat No. 738, Waruda road, Osmanabad.",Osmanabad,www.vjsengg.com,vjscoe2529@gmail.com,203205,Prof. Shinde Abhijeet V.,203205,Un-Aided,Non-Autonomous
"CSMSS Chh. Shahu College of Engineering, Aurangabad",Aurangabad,Urban,"Kanchanwadi, Paithan Road, Aurangabad.",Aurangabad,www.csmssengg.org,shahuengg@gmail.com,6646370,Pravinkumar G Jadhao,6646371,Un-Aided,Non-Autonomous
"D.B.Group of Instituions, School of Technology, At.Mahalangra, Tal.Chakur,Latur",Aurangabad,Rural,"Opp. LATUT-NANDED HIGHWAY,AT MAHALANGRA,TQ-CHAKUR,DIST-LATUR-412513",Latur,www.dbgroup.org.in,dbimr@yahoo.com,259008,PATHAN M.A.,259009,Un-Aided,Non-Autonomous
"Gramin College of Engineering, Vishnupuri, Nanded",Aurangabad,Urban,"Vishnupuri, Nanded, Nanded waghala, Nanded",Nanded,www.graminenggnanded.org,graminenggnanded@gmail.com,229900,Mrs. Gajbhare jaya,229112,Un-Aided,Non-Autonomous
"Veermata Jijabai Technological Institute(VJTI), Matunga, Mumbai",Mumbai,Urban,"H.R. Mahajani Marg, Matunga, Mumbai ",Mumbai City,www.vjti.ac.in,director@vjti.org.in,24198101,Dr. V. N. Palaskar,24198101,Government-Aided,Autonomous
"Sardar Patel College of Engineering, Andheri",Mumbai,Urban,"Munshi Nagar, Andheri (West),  Mumbai - Suburban ,Mumbai ",Mumbai Suburban,www.spce.ac.in,principal@spce.ac.in,26708371,S.R.Vinerkar,26232192,Government-Aided,Autonomous
"St. Xavier's Technical Institute, Mumbai",Mumbai,Urban,"Mahim Causeway Road, Mahim, Mumbai , 400016",Mumbai City,www.xaviertech.com,office@xaviertech.com,24451961,RAVIRAJ GHADGE,24455937,Government-Aided,Autonomous
"Father Agnel Technical College (Polytechnic), Bandra(W), Mumbai",Mumbai,Urban,"Fr. Agnel Ashram Mumbai , 400050",Mumbai City,atc.fragnel.ac.in,fragnel_bandra@yahoo.com,67114051,DEEPAK MASANE,67114054,Government-Aided,Autonomous
"Dr. Babasaheb Ambedkar Tech.University,Institute of Petrochemical Engineering,Lonere,Raigad",Mumbai,Rural,"Vidyavihar,P.O.Lonere,Tal-Mangaon. Raigad , 402103",Raigad,www.iopelonere.com,iopelonere@rediffmail.com,275103,---,275103,University Managed,Autonomous
"Manjara Charitable Trust's Rajiv Gandhi Institute of Technology, Mumbai",Mumbai,Urban,"Off. Juhu Versova Link Road, Versova, Andheri(W) Mumbai ",Mumbai Suburban,www.mctrgit.ac.in,mctrgit02@gmail.com,26707025,Shri. Subhash Khachane,26707026,Un-Aided,Non-Autonomous
"Vidyalankar Institute of Technology,Wadala, Mumbai",Mumbai,Urban,"Vidyalankar Educational Campus,Vidyalankar College Marg, Wadala(E), Mumbai ",Mumbai City,www.vit.edu.in,principal@vit.edu.in,24161126,Mukund Deshmukh,24161126,Un-Aided,Non-Autonomous
"Mahavir Education Trust's Shah & Anchor Kutchhi Engineering College, Mumbai",Mumbai,Urban,"Vaman Tukaram Patil Marg, Chembur, Mumbai",Mumbai Suburban,www.shahandanchor.com,principal@sakec.ac.in,67978100,Prof.A.W.Khan,25580854,Un-Aided,Non-Autonomous
"Saraswati Education Society's Saraswati College of Engineering,Kharghar Navi Mumbai",Mumbai,Urban,"Plot No 46/46 A, Sector 5 Near MSEB Sub Station Kharghar Navi Mumbai  Dist. Raigad ",Raigad,www.sce.edu.in,registrarsaraswati@gmail.com,27743706,Mr.Amar Shinde,27743705,Un-Aided,Non-Autonomous
"Bharti Vidyapeeth's Institute of Management & Information Technology, Navi Mumbai",Mumbai,Urban,"Sector 8. CBD, Belapur, Navi Mumbai  400614",Thane,www.bvimit.co.in,admission@bvimit.co.in,27578415,Amol Ghatage,27578415,Un-Aided,Non-Autonomous
"Deccan Education Society's Navinchandra Mehta Institute of Technology & Development, Dadar, Mumbai",Mumbai,Urban,"DES's Mumbai Campus, Kirti College Road, Dadar (W), Mumbai.  400028",Mumbai City,www.nmitd.edu.in,director@nmitd.edu.in,62764583,PRASAD KULAKRNI,62764583,Un-Aided,Non-Autonomous
"M.G.M.'s College of Engineering and Technology, Kamothe, Navi Mumbai ",Mumbai,Urban,"At Junction of NH4 & Sion-Panvel Expressway,  Kamothe, Navi Mumbai ",Raigad,www.mgmmumbai.ac.in,principal.cet@mgmmumbai.ac.in,65138119,Dr. Sunita Shinde,27433421,Un-Aided,Non-Autonomous
"Thakur College of Engineering and Technology, Kandivali, Mumbai",Mumbai,Urban,"Thakur Shyamnarayan Marg,Thakur Village,Kandivali(E), Mumbai",Mumbai Suburban,www.tcetmumbai.in,tcet@thakureducation.org,67308000,Pankaj Singh,67308000,Un-Aided,Autonomous
"Thadomal Shahani Engineering College, Bandra, Mumbai",Mumbai,Urban,"37th Road, Off Linking Road, (Near National), Bandra (West), Mumbai ",Mumbai Suburban,www.tsec.edu,gtthampi@yahoo.com,26047087,Manohar Chandwani,26041631,Un-Aided,Non-Autonomous
"Fr. Conceicao Rodrigues College of Engineering, Bandra,Mumbai",Mumbai,Urban,"Father Agnel Ashram , Band-stand, Bandra (West), Mumbai",Mumbai Suburban,www.fragnel.edu.in,crce@fragnel.edu.in,67114101,Chandrashekhar Shetty,67114000,Un-Aided,Non-Autonomous
"Vivekanand Education Society's Institute of Technology, Chembur, Mumbai",Mumbai,Urban,"Hashu Advani Memorial Complex, Behind Collector Colony, R.C. Marg, Chembur, Mumbai",Mumbai Suburban,www.ves.ac.in/vesit,vesit@vsnl.com,61532511,Mrs. Asma Parveen I.Siddavatam,61532532,Un-Aided,Non-Autonomous
"Bharati Vidyapeeth College of Engineering,  Navi Mumbai",Mumbai,Urban,"Sector - 7,CBD- Belpur, Navi Mumbai 400614 ",Thane,www.bvcoenm.edu.in,principal.bvcoenm@bharatividyapeeth.edu,27571074,Mr. Santosh Shahaji Pawar,27572140,Un-Aided,Non-Autonomous
"Terna Engineering College, Nerul, Navi Mumbai",Mumbai,Urban,"Plot No. 12, Sector-22,Opp. Nerul Railway Station,Phase-II, Nerul (W),Navi Mumbai ",Thane,www.ternaengg.ac.in,principal@terna.org,61115401,Kavita S.Kadam,61115444,Un-Aided,Non-Autonomous
"Mandar Education Society's Rajaram Shinde College of Engineering, Pedhambe",Mumbai,Rural,"At Pedhambe, Po. Alore, Tal : Chiplun, Dist. Ratnagiri",Ratnagiri,www.mandaredusoc.org,rscoedegree@gmail.com,230005,D K Gaikwad,230005,Un-Aided,Non-Autonomous
"Smt. Indira Gandhi College of Engineering, Navi Mumbai",Mumbai,Urban,"Plot No.1, Sector No. 08, Ghansoli , Navi Mumbai 400 701",Thane,www.sigce.edu.in,contactus@sigce.edu.in,8080949300,Chandrakant Jadhav,27543608,Un-Aided,Non-Autonomous
"Shivajirao S. Jondhale College of Engineering, Dombivali,Mumbai",Mumbai,Urban,"Sheel Kalyan Highway, Behind Venkatesh Petrolpump, Sonarpada, Manpada Post, Dombivali (E) Thane ",Thane,www.shivajiraojondhalecoe.org.in,officessjcoe@gmail.com,2023973, Mr. Shejul F. C.,2872560,Un-Aided,Non-Autonomous
"Vidyavardhini's College of Engineering and Technology, Vasai",Mumbai,Urban,"Vasai Road (W Rly), Tal: Vasai, District Palghar ",Palghar,www.vcet.edu.in,vcet_inbox@vcet.edu.in,2338234,Mr. Vishal K. Save,2338234,Un-Aided,Non-Autonomous
"Agnel Charities' FR. C. Rodrigues Institute of Technology, Vashi, Navi Mumbai",Mumbai,Urban,"Sector 9-A,  Vashi, Navi Mumbai,",Thane,www.fcrit.ac.in,principalfcrit@gmail.com,27771000,Neena Biju Nair,227771000,Un-Aided,Non-Autonomous
"Konkan Gyanpeeth College of Engineering, Karjat",Mumbai,Urban,"Vengaon Road, Dahivali, Karjat",Raigad,www.kgce.edu.in,principal@kgce.edu.in,222580,A,222580,Un-Aided,Non-Autonomous
"Shri Vile Parle Kelvani Mandal's Dwarkadas J. Sanghvi College of Engineering, Vile Parle,Mumbai",Mumbai,Urban,"Plot No. U-15, J.V.P.D. Scheme, Bhaktivedanta Swami Marg, Vile Parle (West), Mumbai",Mumbai Suburban,www.djsce.ac.in,info@djsce.ac.in,26123892,Mrs. Shreeya Hadkar,26123892,Un-Aided,Non-Autonomous
"Hope Foundation and research center's  Finolex Academy of Management and Technology, Ratnagiri",Mumbai,Rural,"P- 60, P-60/1, MIDC, Mirjole Block, Ratnagiri",Ratnagiri,www.famt.ac.in,admin@famt.ac.in,229569,Gajanan D Targaonkar,229657,Un-Aided,Non-Autonomous
